TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.select.Selector,BRANCH,1.0,20,20
org.jsoup.select.Evaluator,BRANCH,0.959349593495935,246,236
org.jsoup.select.StructuralEvaluator,BRANCH,0.9855072463768116,69,68
org.jsoup.select.Collector,BRANCH,1.0,2,2
org.jsoup.select.Elements,BRANCH,0.9864864864864865,148,146
org.jsoup.select.QueryParser,BRANCH,0.5233333333333333,300,157
org.jsoup.select.CombiningEvaluator,BRANCH,0.9629629629629629,27,26
org.jsoup.select.NodeTraversor,BRANCH,0.8461538461538461,65,55
org.jsoup.internal.SharedConstants,BRANCH,0.0,0,0
org.jsoup.internal.Normalizer,BRANCH,1.0,6,6
org.jsoup.internal.StringUtil,BRANCH,0.9727272727272728,110,106
org.jsoup.internal.ControllableInputStream,BRANCH,0.875,48,42
org.jsoup.internal.Functions,BRANCH,1.0,4,4
org.jsoup.UncheckedIOException,BRANCH,1.0,3,3
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.7906976744186046,43,34
org.jsoup.safety.Safelist,BRANCH,0.6081081081081081,148,90
